"Common Name","Scientific Name","Number of Records"
"hydrilla","Hydrilla verticillata","199"
"silver hairgrass","Aira caryophyllea","196"
"seaside barley","Hordeum marinum","195"
"three-cornered leek","Allium triquetrum","195"
"white sweetclover","Melilotus albus","193"
"yellow glandweed","Parentucellia viscosa","191"
"red valerian","Centranthus ruber","189"
"ravennagrass","Saccharum ravennae","188"
"burning nettle","Urtica urens","187"
"field madder","Sherardia arvensis","185"
"bulbous bluegrass","Poa bulbosa","184"
"rosy sandcrocus","Romulea rosea","179"
"pale flax","Linum bienne","178"
"nettleleaf goosefoot","Chenopodium murale","178"
"New Zealand nightshade","Solanum aviculare","176"
"Bagrada bug","Bagrada hilaris","176"
"Arabian schismus","Schismus arabicus","175"
"Jersey cudweed","Pseudognaphalium luteoalbum","174"
"bouncingbet","Saponaria officinalis","174"
"reed canarygrass","Phalaris arundinacea","172"
"stinking chamomile","Anthemis cotula","172"
"halogeton, saltlover","Halogeton glomeratus","171"
"leafy spurge","Euphorbia esula","170"
"annual bluegrass","Poa annua","167"
"bellardia","Bellardia trixago","166"
"lambsquarters","Chenopodium album","165"
"creeping bentgrass","Agrostis stolonifera","165"
"white pine blister rust","Cronartium ribicola","164"
"coppery mesemb","Malephora crocea","164"
"black medic","Medicago lupulina","164"
"Russian olive","Elaeagnus angustifolia","163"
"nit grass","Gastridium phleoides","161"
"African cornflag","Chasmanthe floribunda","160"
"water primrose","Ludwigia grandiflora ssp. hexapetala","159"
"plume albizia","Paraserianthes lophantha","159"
"yellow toadflax","Linaria vulgaris","158"
"foxtail brome","Bromus madritensis","156"
"Queen Anne's lace, wild carrot","Daucus carota","156"
"shepherd's-purse","Capsella bursa-pastoris","155"
"southern brassbuttons","Cotula australis","155"
"artichoke thistle","Cynara cardunculus ssp. cardunculus","155"
"Douglas-fir beetle","Dendroctonus pseudotsugae","152"
"barnyardgrass","Echinochloa crus-galli","150"
"dallisgrass","Paspalum dilatatum","149"
"oriental mustard","Sisymbrium orientale","148"
"Mediterranean sage","Salvia aethiopis","147"
"moth mullein","Verbascum blattaria","147"
"ladysthumb","Persicaria maculosa","144"
"squirreltail fescue","Vulpia bromoides","144"
"white bladderflower","Araujia sericifera","143"
"annual ryegrass","Lolium multiflorum","142"
"oleander","Nerium oleander","141"
"common chickweed","Stellaria pallida","140"
"chinaberry","Melia azedarach","140"
"quackgrass","Elymus repens","140"
"dovefoot geranium","Geranium molle","139"
"fourleaf manyseed","Polycarpon tetraphyllum","138"
"barbwire Russian-thistle","Salsola paulsenii","136"
"creeping waterprimrose","Ludwigia peploides","134"
"hairypink","Petrorhagia dubia","134"
"prostrate knotweed","Polygonum aviculare","134"
"Monterey cypress","Cupressus macrocarpa","134"
"sweet alyssum","Lobularia maritima","131"
"brown marmorated stink bug","Halyomorpha halys","131"
"large crabgrass","Digitaria sanguinalis","128"
"mexicantea","Dysphania ambrosioides","127"
"wild mustard","Sinapis arvensis","127"
"smooth barley","Hordeum murinum ssp. glaucum","126"
"small hop clover","Trifolium dubium","126"
"timothy","Phleum pratense","125"
"spearmint","Mentha spicata","125"
"spiny plumeless thistle","Carduus acanthoides","122"
"coast tarweed","Madia sativa","122"
"goldentop","Lamarckia aurea","121"
"little quakinggrass","Briza minor","120"
"saltmeadow cordgrass","Spartina patens","120"
"sudden oak death","Phytophthora ramorum","118"
"Australian teatree","Leptospermum laevigatum","117"
"water-bent","Polypogon viridis","117"
"hedge mustard","Sisymbrium officinale","117"
"meadow knapweed","Centaurea debeauxii","116"
"Persian speedwell","Veronica persica","115"
"rescuegrass","Bromus catharticus","113"
"giant knotweed","Reynoutria sachalinensis","112"
"Kentucky bluegrass","Poa pratensis ssp. pratensis","112"
"red sandspurry","Spergularia rubra","112"
"olive","Olea europaea","111"
"cultivated knotweed","Persicaria wallichii","110"
"squarrose knapweed","Centaurea virgata","110"
"beach strawberry","Fragaria chiloensis","109"
