"Common Name","Scientific Name","Number of Records"
"Toadflax Brocade","Calophasia lunula","9"
"common speedwell","Veronica officinalis","9"
"thistle","Cirsium","9"
"yellow nutsedge","Cyperus esculentus","9"
"wild foxglove","Ceratotheca triloba","9"
"poverty brome","Bromus sterilis","9"
"spring millet","Milium vernale","9"
"hedge bindweed","Calystegia sepium","9"
"longspine sandbur","Cenchrus longispinus","9"
"smallflower tamarisk","Tamarix parviflora","9"
"nightflowering catchfly","Silene noctiflora","9"
"reed","Phragmites spp.","9"
"marsh-pepper smartweed","Persicaria hydropiper","9"
"feverfew","Tanacetum parthenium","9"
"field dodder","Cuscuta pentagona","9"
"European centaury","Centaurium erythraea","9"
"lettuce","Lactuca sativa","8"
"Oregon grape","Mahonia nervosa","8"
"broom seed beetle","Bruchidius villosus","8"
"bur chervil","Anthriscus caucalis","8"
"red brome","Bromus rubens","8"
"babysbreath","Gypsophila paniculata","8"
"yellow bedstraw","Galium verum","8"
"purple crown-vetch","Securigera varia","8"
"California poppy","Eschscholzia californica","8"
"longleaf groundcherry","Physalis longifolia","8"
"fall panicum","Panicum dichotomiflorum","8"
"greater St. John's wort beetle","Chrysolina quadrigemina","8"
"sorghum (type unspecified)","Sorghum bicolor","8"
"toadflax capsule weevil","Gymnetron antirrhini","8"
"St. Johnswort Inchworm","Aplocera plagiata","8"
"arrowleaf balsamroot","Balsamorhiza sagittata","7"
"common periwinkle","Vinca minor","7"
"squarrose knapweed","Centaurea virgata","7"
"common hempnettle","Galeopsis tetrahit","7"
"hollyhock","Alcea rosea","7"
"meadow knapweed","Centaurea x moncktonii","7"
"motherwort","Leonurus cardiaca","7"
"canarygrass","Phalaris canariensis","7"
"Indian mustard","Brassica juncea","7"
"largeseed falseflax","Camelina sativa","7"
"oystershell scale","Lepidosaphes ulmi","7"
"horsetail","Equisetum spp.","7"
"largeseed dodder","Cuscuta indecora","7"
"scarlet pimpernel","Anagallis arvensis","7"
"spotted waterhemlock","Cicuta maculata","7"
"shaggy fleabane","Erigeron pumilus","6"
"peppermint","Mentha x piperita","6"
"prairie sunflower","Helianthus petiolaris","6"
"tall hawkweed","Hieracium praealtum","6"
"common wheat","Triticum aestivum","6"
"larch sawfly","Pristiphora erichsonii","6"
"California burclover","Medicago polymorpha","6"
"squirreltail fescue","Vulpia bromoides","6"
"European elm bark beetle, smaller European elm bark beetle","Scolytus multistriatus","6"
"brown knapweed","Centaurea jacea","6"
"blue flax","Linum perenne","6"
"Norway maple aphid","Periphyllus lyropictus","6"
"flower feeding weevil","Nanophyes marmoratus","6"
"broadleaf dock","Rumex obtusifolius","6"
"dwarf snapdragon","Chaenorhinum minus","6"
"canarygrass","Phalaris","6"
"annual yellow sweetclover","Melilotus indicus","6"
"cynipid gall wasps","Aulacidea acroptilonica","6"
"sparrow vetch","Vicia tetrasperma","6"
"corn cockle","Agrostemma githago","6"
"umbrella spurry","Holosteum umbellatum","6"
"corn chamomile","Anthemis arvensis","6"
"wine grape","Vitis vinifera","6"
"sticky chickweed","Cerastium glomeratum","6"
"yellow star thistle gall fly","Urophora sirunaseva","6"
"wavyleaf thistle","Cirsium undulatum","6"
"Europe sage","Salvia sclarea","5"
"common buckthorn, European buckthorn","Rhamnus cathartica","5"
"smooth crabgrass","Digitaria ischaemum","5"
"spotted knapweed","Centaurea stoebe","5"
"common flax","Linum usitatissimum","5"
"common comfrey","Symphytum officinale","5"
"Arizona bugbane","Actaea arizonica","5"
"spreading hedgeparsley","Torilis arvensis","5"
"birdseye pearlwort","Sagina procumbens","5"
"bluehead gilia","Gilia capitata","5"
"European cranberrybush","Viburnum opulus","5"
"Brazilian waterweed, Brazilian elodea","Egeria densa","5"
"cottony cushion scale","Icerya purchasi","5"
"oriental virginsbower","Clematis orientalis","5"
"coyote","Canis latrans","5"
"piedmont bedstraw","Cruciata pedemontana","5"
"salsola","Salsola spp.","5"
"Mediterranean tamarisk beetle","Diorhabda elongata","5"
"purple starthistle","Centaurea calcitrapa","5"
"ripgut brome","Bromus diandrus","4"
"common dandelion","Taraxacum officinale ssp. officinale","4"
"moist sowthistle","Sonchus arvensis ssp. uliginosus","4"
"paradise apple","Malus pumila","4"
"corn spurry","Spergula arvensis","4"
"English ivy","Hedera helix","4"
"peach twig borer","Anarsia lineatella","4"
"silvery cinquefoil","Potentilla argentea","4"
"eastern poison-ivy","Toxicodendron radicans","4"
"blackthorn","Prunus spinosa","4"
"nettleleaf goosefoot","Chenopodium murale","4"
"multiflora rose","Rosa multiflora","4"
"spurge hawkmoth","Hyles euphorbiae","4"
"catchweed bedstraw","Galium aparine","4"
"shrubby nightshade","Solanum robustum","4"
"knapweed seed head fly","Urophora quadrifasciata","4"
"tall lettuce","Lactuca canadensis","4"
"big periwinkle","Vinca major","4"
"tawny daylily","Hemerocallis fulva","4"
"lemon balm","Melissa officinalis","4"
"yellow devil hawkweed","Hieracium x floribundum","4"
"mexicantea","Dysphania ambrosioides","4"
"goutweed","Aegopodium podagraria","4"
"ripgut brome","Bromus diandrus var. rigidus","4"
"black knapweed","Centaurea nigra","4"
"Scottish broom seed weevil","Exapion fuscirostre","4"
"common borage","Borago officinalis","4"
"little starwort","Stellaria graminea","4"
"wild four-o'clock","Mirabilis nyctaginea","4"
"garden vetch","Vicia sativa ssp. nigra","4"
"hemp/marijuana (sativa)","Cannabis sativa","4"
"spreading hedgeparsley","Torilis arvensis ssp. arvensis","3"
"Tatarian honeysuckle","Lonicera tatarica","3"
"silversheath knotweed","Polygonum argyrocoleon","3"
"flea beetle","Altica carduorum","3"
"sticky groundsel","Senecio viscosus","3"
"chickpea milkvetch, cicer milkvetch","Astragalus cicer","3"
"eastern spruce gall adelgid","Adelges abietis","3"
"halberdleaf orach","Atriplex patula","3"
"rapeseed","Brassica napus","3"
"buckwheat","Fagopyrum esculentum","3"
"cinquefoil","Potentilla spp.","3"
"root galling weevil","Gymnetron linariae","3"
"narrowleaf hawkweed","Hieracium umbellatum","3"
"camelthorn","Alhagi maurorum","3"
"brown marmorated stink bug","Halyomorpha halys","3"
"black wattle","Acacia mearnsii","3"
"asparagus","Asparagus spp.","3"
"giant ragweed","Ambrosia trifida","3"
"Austrian fieldcress","Rorippa austriaca","3"
"spruce bud scale","Physokermes piceae","3"
"goldenrain tree","Koelreuteria paniculata","3"
"foxtail barley","Hordeum jubatum","3"
"peach","Prunus persica","3"
"wall lettuce","Mycelis muralis","3"
"fall dandelion","Scorzoneroides autumnalis","3"
"germander speedwell","Veronica chamaedrys","3"
"Leaf blotch","Cladosporium allii-cepae","3"
"tarweed fiddleneck","Amsinckia lycopsoides","3"
"English violet","Viola odorata","3"
"Mediterranean broom","Genista linifolia","3"
"horsenettle","Solanum carolinense","3"
"yellow fieldcress","Rorippa sylvestris","3"
"woolly plantain","Plantago patagonica","3"
"sand pepperweed","Lepidium lasiocarpum","3"
"white sweetclover","Melilotus albus","3"
"white satin moth","Leucoma salicis","2"
"Italian bugloss","Anchusa azurea","2"
"Russian thistle stem miner","Coleophora parthenica","2"
"wild celery","Apium graveolens","2"
"western gromwell","Lithospermum ruderale","2"
"perennial cornflower","Centaurea montana","2"
"smooth bedstraw","Galium mollugo","2"
"wild chervil","Anthriscus sylvestris","2"
"sweet alyssum","Lobularia maritima","2"
"basin wildrye","Leymus cinereus","2"
"spotted deadnettle","Lamium maculatum","2"
"white mustard","Sinapis alba","2"
"bighead knapweed","Centaurea macrocephala","2"
"apple-of-Peru","Nicandra physalodes","2"
"Mediterranean sage root crown weevil","Phrydiuchus tau","2"
"yellow floating heart","Nymphoides peltata","2"
"American black nightshade","Solanum americanum","2"
"broom snakeweed","Gutierrezia sarothrae","2"
"hedgehog dogtailgrass","Cynosurus echinatus","2"
"field sowthistle","Sonchus arvensis ssp. arvensis","2"
"American dodder","Cuscuta americana","2"
"buttercup","Ranunculus spp.","2"
"lepyrodiclis","Lepyrodiclis holosteoides","2"
"catchfly","Silene spp.","2"
"annual wormwood","Artemisia annua","2"
"elk sedge","Carex garberi","2"
"giant horsetail","Equisetum telmateia","2"
"low cudweed","Gnaphalium uliginosum","2"
"annual honesty","Lunaria annua","2"
"European elm flea weevil","Orchestes alni","2"
"glossy buckthorn","Frangula alnus","2"
"onerow yellowcress","Nasturtium microphyllum","2"
"cane fruit (blackberry, raspberry)","Rubus spp.","2"
"common valerian","Valeriana officinalis","2"
"field madder","Sherardia arvensis","2"
"toadflax","Linaria spp.","2"
"Callery pear (Bradford pear)","Pyrus calleryana","2"
"sour cherry","Prunus cerasus","2"
"clearwing moth","Chamaesphecia empiformis","2"
"sessilefruit arrowhead","Sagittaria rigida","2"
"evening primrose","Oenothera spp.","2"
"splitlip hempnettle","Galeopsis bifida","2"
"beardtongue","Penstemon spp.","2"
"St. John's wort beetle","Agrilus hyperici","2"
