"Common Name","Scientific Name","Number of Records"
"smooth cat's ear","Hypochaeris glabra","17"
"hedge bindweed","Calystegia sepium","17"
"cypressvine morning-glory","Ipomoea quamoclit","17"
"annual yellow sweetclover","Melilotus indicus","17"
"winter creeper","Euonymus fortunei","17"
"scarlet firethorn","Pyracantha coccinea","17"
"fall cankerworm","Alsophila pometaria","16"
"Deptford pink","Dianthus armeria","16"
"spider brake","Pteris multifida","15"
"mulberryweed","Fatoua villosa","15"
"giant salvinia","Salvinia molesta","15"
"cressleaf groundsel","Packera glabella","15"
"common four-o'clock","Mirabilis jalapa","15"
"weeping willow","Salix babylonica","15"
"silver hairgrass","Aira caryophyllea","15"
"purple loosestrife","Lythrum salicaria","15"
"velvetleaf","Abutilon theophrasti","14"
"Long's sedge","Carex longii","14"
"northern catalpa","Catalpa speciosa","14"
"Chinese holly","Ilex cornuta","14"
"chicory","Cichorium intybus","14"
"fiveangled dodder","Cuscuta pentagona var. pentagona","14"
"mugwort","Artemisia vulgaris","13"
"Chinese silvergrass","Miscanthus sinensis","13"
"periwinkle","Vinca","13"
"castorbean","Ricinus communis","13"
"grassy arrowhead","Sagittaria graminea","13"
"creeping liriope","Liriope spicata","13"
"compact dodder","Cuscuta compacta","13"
"sweet breath of spring","Lonicera fragrantissima","13"
"asparagus","Asparagus officinalis","12"
"coyote","Canis latrans","12"
"sawtooth oak","Quercus acutissima","12"
"cat (feral)","Felis catus (feral type)","12"
"common duckweed","Lemna minor","12"
"birdsrape mustard","Brassica rapa","12"
"water primrose","Ludwigia grandiflora ssp. hexapetala","12"
"oleander","Nerium oleander","12"
"downy maiden fern","Cyclosorus dentatus","12"
"broadleaf plantain","Plantago major","12"
"yellow bluestem","Bothriochloa ischaemum","12"
"garden vetch","Vicia sativa ssp. nigra","12"
"eastern white pine","Pinus strobus","12"
"common grape hyacinth","Muscari botryoides","12"
"horsenettle","Solanum carolinense","12"
"kudzu","Pueraria spp.","12"
"redtop","Agrostis gigantea","12"
"poison hemlock","Conium maculatum","12"
"timothy","Phleum pratense","12"
"toothed spurge","Euphorbia dentata","11"
"Russian olive","Elaeagnus angustifolia","11"
"spearmint","Mentha spicata","11"
"twoleaf watermilfoil","Myriophyllum heterophyllum","11"
"Mascarene Island leaf-flower","Phyllanthus tenellus","11"
"Sacred lotus","Nelumbo nucifera","11"
"hairy beggarticks","Bidens pilosa","11"
"Gray leaf spot","Cercospora zeae-maydis","11"
"Japanese false spleenwort","Deparia petersenii","11"
"Canada bluegrass","Poa compressa","11"
"longspine sandbur","Cenchrus longispinus","11"
"carpet bugle","Ajuga reptans","11"
"bulbous buttercup","Ranunculus bulbosus","11"
"common ragweed","Ambrosia artemisiifolia","11"
"rock dandelion","Taraxacum erythrospermum","11"
"field bindweed","Convolvulus arvensis","11"
"peppermint","Mentha x piperita","11"
"field sandbur","Cenchrus spinifex","11"
"garden spurge","Chamaesyce hirta","11"
"alsike clover","Trifolium hybridum","11"
"catchweed bedstraw","Galium aparine","10"
"creeping bentgrass","Agrostis stolonifera","10"
"common velvetgrass","Holcus lanatus","10"
"ivyleaf speedwell","Veronica hederifolia","10"
"sorghum (type unspecified)","Sorghum bicolor","10"
"gray mold","Botrytis cinerea","10"
"cottony cushion scale","Icerya purchasi","10"
"sweet vernalgrass","Anthoxanthum odoratum","10"
"water speedwell","Veronica anagallis-aquatica","10"
