"Common Name","Scientific Name","Number of Records"
"common yarrow","Achillea millefolium","33"
"Kummerowia","Kummerowia","33"
"dotted duckmeat","Landoltia punctata","33"
"weeping lovegrass","Eragrostis curvula","32"
"European common reed, Phragmites","Phragmites australis ssp. australis","32"
"meadow fescue","Festuca pratensis","32"
"yellow foxtail","Setaria pumila","32"
"common water hyacinth","Eichhornia crassipes","32"
"cogongrass","Imperata cylindrica","32"
"common purslane","Portulaca oleracea","32"
"rattail fescue","Vulpia myuros","31"
"indigobush","Amorpha fruticosa","31"
"fall panicum","Panicum dichotomiflorum","30"
"Japanese knotweed","Reynoutria japonica","30"
"hemlock woolly adelgid","Adelges tsugae","30"
"moss vervain","Glandularia pulchella","30"
"Deptford pink","Dianthus armeria","30"
"denseflower knotweed","Persicaria glabra","30"
"lesser celandine, fig buttercup","Ficaria verna","30"
"smallflower morningglory","Jacquemontia tamnifolia","30"
"Himalayan blackberry","Rubus bifrons","29"
"orchardgrass","Dactylis glomerata","29"
"common mouse-ear chickweed","Cerastium fontanum","29"
"starch grape hyacinth","Muscari neglectum","29"
"crimson clover","Trifolium incarnatum","28"
"yellow woodsorrel","Oxalis stricta","28"
"greenhouse frog","Eleutherodactylus planirostris","28"
"sweet autumn virginsbower","Clematis terniflora","28"
"spotted waterhemlock","Cicuta maculata","28"
"Brazilian waterweed, Brazilian elodea","Egeria densa","28"
"ground ivy","Glechoma hederacea","28"
"Virginia groundcherry","Physalis virginiana var. virginiana","27"
"corn cockle","Agrostemma githago","27"
"corn gromwell","Buglossoides arvensis","27"
"Macartney rose","Rosa bracteata","27"
"West Indian nightshade","Solanum ptychanthum","27"
"fiveangled dodder","Cuscuta pentagona var. pentagona","27"
"fire ant decapitating fly","Pseudacteon tricuspis","27"
"purple deadnettle","Lamium purpureum","27"
"field dodder","Cuscuta pentagona","27"
"everlasting peavine","Lathyrus latifolius","27"
"Scotch broom","Cytisus scoparius","26"
"slender amaranth","Amaranthus viridis","26"
"wild onion","Allium canadense","26"
"cutleaf groundcherry","Physalis angulata","26"
"Chinese yam","Dioscorea polystachya","26"
"prostrate knotweed","Polygonum aviculare","26"
"chamber bitter","Phyllanthus urinaria","25"
"spring whitlowgrass","Draba verna","25"
"catchweed bedstraw","Galium aparine","25"
"annual yellow sweetclover","Melilotus indicus","25"
"golden bamboo","Phyllostachys aurea","25"
"periwinkle","Vinca","25"
"hairy fleabane","Conyza bonariensis","24"
"hydrilla","Hydrilla verticillata","24"
"Korean lespedeza","Kummerowia stipulacea","24"
"brittleleaf naiad","Najas minor","23"
"junglerice","Echinochloa colona","23"
"asparagus","Asparagus officinalis","22"
"timothy","Phleum pratense","22"
"blessed thistle","Cnicus benedictus","22"
"tarweed cuphea","Cuphea carthagenensis","22"
"nimblewill","Muhlenbergia schreberi","21"
"Honduras pine","Pinus elliottii var. elliottii","21"
"common four-o'clock","Mirabilis jalapa","21"
"hedge mustard","Sisymbrium officinale","21"
"star-of-Bethlehem","Ornithogalum umbellatum","21"
"broadleaf plantain","Plantago major","21"
"large-flower primrose-willow","Ludwigia grandiflora","21"
"field madder","Sherardia arvensis","20"
"Oriental lady's thumb","Persicaria longiseta","20"
"fragrant waterlily","Nymphaea odorata","20"
"hairy galinsoga","Galinsoga quadriradiata","19"
"tievine","Ipomoea cordatotriloba var. cordatotriloba","19"
"common pear","Pyrus communis","19"
"California burclover","Medicago polymorpha","19"
"bamboo","Bambusa","19"
"corn spurry","Spergula arvensis","19"
"Phytophthora root rot","Phytophthora cinnamomi","18"
"witchweed","Striga asiatica","18"
"doubtful knight's-spur","Consolida ajacis","18"
"redtop","Agrostis gigantea","18"
"soybean rust","Phakopsora pachyrhizi","18"
"ivyleaf speedwell","Veronica hederifolia","17"
"common periwinkle","Vinca minor","17"
"crownbeard","Verbesina encelioides","17"
"dwarf violet iris","Iris verna","17"
"chicory","Cichorium intybus","16"
"mugwort","Artemisia vulgaris","16"
"redstem filaree","Erodium cicutarium","16"
"hedge bindweed","Calystegia sepium","16"
"southern catalpa","Catalpa bignonioides","16"
"memorial rose","Rosa lucieae","16"
"hemp sesbania","Sesbania exaltata","16"
"common groundsel","Senecio vulgaris","16"
"bulbous buttercup","Ranunculus bulbosus","16"
"bigpod sesbania","Sesbania herbacea","16"
"green foxtail","Setaria viridis","16"
"French tamarisk","Tamarix gallica","16"
"watercress","Nasturtium officinale","16"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","15"
"common St. Johnswort","Hypericum perforatum","15"
