"Common Name","Scientific Name","Number of Records"
"golden polypody","Phlebodium aureum","79"
"lantana","Lantana strigocamara R. W. Sanders","79"
"chamber bitter","Phyllanthus urinaria","78"
"fragrant waterlily","Nymphaea odorata","78"
"barnyardgrass","Echinochloa crus-galli","78"
"common reed","Phragmites australis","77"
"Antilles calophyllum","Calophyllum antillanum","77"
"Mascarene Island leaf-flower","Phyllanthus tenellus","77"
"junglerice","Echinochloa colona","77"
"chestnut-fronted macaw","Ara severus","77"
"common water monitor","Varanus salvator","76"
"non-native yams","Dioscorea spp. (non-native)","76"
"threeflower beggarweed","Desmodium triflorum","76"
"yellow nutsedge","Cyperus esculentus","75"
"black mimosa","Mimosa pigra var. pigra","75"
"European common reed, Phragmites","Phragmites australis ssp. australis","75"
"pike killifish","Belonesox belizanus","75"
"purple nutsedge","Cyperus rotundus","74"
"Greylag Goose","Anser anser","74"
"northern curly-tailed lizard","Leiocephalus carinatus","74"
"anglestem beaksedge","Rhynchospora caduca","74"
"Asian swamp eel","Monopterus albus","73"
"butterfly peacock bass","Cichla ocellaris","73"
"corn earworm, tomato fruitworm","Helicoverpa zea","72"
"orange-winged Amazon","Amazona amazonica","72"
"oscar","Astronotus ocellatus","72"
"yellow-headed parrot","Amazona oratrix","72"
"denseflower knotweed","Persicaria glabra","71"
"glenwoodgrass","Sacciolepis indica","71"
"lambsquarters","Chenopodium album","70"
"swordfern","Macrothelypteris torresiana","70"
"jaguar guapote","Parachromis managuensis","70"
"rabbitfoot polypogon","Polypogon monspeliensis","69"
"capybara","Hydrochoerus hydrochaeris","69"
"heartleaf drymary","Drymaria cordata","69"
"watercress","Nasturtium officinale","68"
"downy maiden fern","Cyclosorus dentatus","68"
"valamuerto","Senna pendula","67"
"northern African python","Python sebae","67"
"fire ant decapitating fly","Pseudacteon curvatus","67"
"fire ant decapitating fly","Pseudacteon tricuspis","67"
"itchgrass","Rottboellia cochinchinensis","66"
"slender amaranth","Amaranthus viridis","66"
"kudzu bug","Megacopta cribraria","66"
"wild radish","Raphanus raphanistrum","66"
"common chickweed","Stellaria pallida","65"
"Brazilian waterweed, Brazilian elodea","Egeria densa","65"
"chandelier plant","Kalanchoe delagoensis","64"
"scarlet ibis","Eudocimus ruber","64"
"common ragweed","Ambrosia artemisiifolia","64"
"Madagascar rubbervine","Cryptostegia madagascariensis","62"
"limnophila","Limnophila sessiliflora","62"
"noyau vine","Merremia dissecta","62"
"unidentified tegu","Tupinambis spp.","62"
"citrus","Citrus spp.","62"
"Phytophthora root and crown rots","Phytophthora spp.","62"
"shovel-headed garden worm","Bipalium kewense","61"
"Brazilian vervain","Verbena incompta","61"
"sweet autumn virginsbower","Clematis terniflora","60"
"blue-and-yellow macaw","Ara ararauna","59"
"grassy arrowhead","Sagittaria graminea","59"
"pink woodsorrel","Oxalis debilis var. corymbosa","58"
"dallisgrass","Paspalum dilatatum","58"
"spanishneedles","Bidens bipinnata","58"
"bristlegrass","Setaria spp.","58"
"largeflower Mexican clover","Richardia grandiflora","57"
"violet demoiselle","Neopomacentrus cyanomos","57"
"West Indian nightshade","Solanum ptychanthum","57"
"annual bluegrass","Poa annua","56"
"fountain palm","Livistona chinensis","56"
"sorghum (type unspecified)","Sorghum bicolor","56"
"annual yellow sweetclover","Melilotus indicus","56"
"saltmeadow cordgrass","Spartina patens","56"
"field sandbur","Cenchrus spinifex","55"
"freshwater jellyfish","Craspedacusta sowerbyi","55"
"indigobush","Amorpha fruticosa","54"
"peacock eel","Macrognathus siamensis","53"
"rice flatsedge","Cyperus iria","53"
"fall panicum","Panicum dichotomiflorum","53"
"Allison's anole","Anolis allisoni","52"
"wisterias","Wisteria spp.","52"
"Nile tilapia","Oreochromis niloticus","52"
"fire ant decapitating fly","Pseudacteon obtusus","52"
"lesser roundweed","Hyptis brevipes","51"
"common chickweed","Stellaria media","51"
"artilleryweed","Pilea microphylla","51"
"bark anole","Anolis distichus","51"
"buckhorn plantain","Plantago lanceolata","51"
"dandelion","Taraxacum officinale","51"
"mosquito","Psorophora ciliata","50"
"grass carp","Ctenopharyngodon idella","50"
"curly dock","Rumex crispus ssp. crispus","50"
"cypressvine morning-glory","Ipomoea quamoclit","50"
"fusiform rust","Cronartium quercuum f.sp. fusiforme","50"
"curly dock","Rumex crispus","50"
"swan goose","Anser cygnoides","50"
"sour paspalum","Paspalum conjugatum","50"
"pangolagrass","Digitaria eriantha","49"
"cutleaf groundcherry","Physalis angulata","48"
"cressleaf groundsel","Packera glabella","48"
"bush honeysuckles (exotic)","Lonicera spp.","48"
"white-eyed parakeet","Aratinga leucophthalmus","48"
"common cocklebur","Xanthium strumarium","48"
"Phomopsis cankers and twig blights","Phomopsis spp.","47"
"smooth cordgrass","Spartina alterniflora","47"
"mazapan","Malvaviscus penduliflorus","47"
"corkystemmed passionflower","Passiflora suberosa","47"
"moonflower","Ipomoea alba","47"
"rescuegrass","Bromus catharticus","47"
"`ilima","Sida cordifolia","47"
"crested floating heart","Nymphoides cristata","47"
"tall fescue","Festuca arundinacea","47"
"lilac tasselflower","Emilia sonchifolia var. sonchifolia","47"
"Honduras pine","Pinus elliottii var. elliottii","47"
"violet crabgrass","Digitaria violascens","46"
"sharppod morning-glory","Ipomoea cordatotriloba","46"
"large hop clover","Trifolium campestre","46"
