"Common Name","Scientific Name","Number of Records"
"leafy spurge gall midge","Spurgia esulae","14"
"eucalyptus","Eucalyptus spp.","14"
"prostrate pigweed","Amaranthus blitoides","14"
"wild parsnip","Pastinaca sativa","14"
"alfalfa","Medicago sativa ssp. sativa","13"
"Queen Anne's lace, wild carrot","Daucus carota","13"
"spring whitlowgrass","Draba verna","13"
"leporinum barley","Hordeum murinum ssp. leporinum","12"
"red-eared slider","Trachemys scripta elegans","12"
"alsike clover","Trifolium hybridum","12"
"Jeffrey pine","Pinus jeffreyi","12"
"common duckweed","Lemna minor","12"
"white poplar","Populus alba","12"
"wild buckwheat","Fallopia convolvulus","12"
"field horsetail","Equisetum arvense","12"
"catnip","Nepeta cataria","12"
"Rocky Mountain iris","Iris missouriensis","12"
"asparagus","Asparagus officinalis","12"
"spearmint","Mentha spicata","12"
"redroot pigweed","Amaranthus retroflexus","11"
"Japanese honeysuckle","Lonicera japonica","11"
"American bullfrog","Lithobates catesbeianus","11"
"longspine sandbur","Cenchrus longispinus","11"
"red sorrel","Rumex acetosella","11"
"Douglas-fir","Pseudotsuga menziesii","11"
"bald brome","Bromus racemosus","11"
"moth mullein","Verbascum blattaria","11"
"bouncingbet","Saponaria officinalis","11"
"common tansy","Tanacetum vulgare","11"
"desert wheatgrass","Agropyron desertorum","11"
"New Zealand mud snail","Potamopyrgus antipodarum","10"
"quackgrass","Elymus repens","10"
"orbicular whitetop, lens-podded hoary cress","Lepidium chalepense","10"
"sulfur cinquefoil","Potentilla recta","10"
"prairie sunflower","Helianthus petiolaris","10"
"cornflower","Centaurea cyanus","10"
"European elm bark beetle, smaller European elm bark beetle","Scolytus multistriatus","10"
"wild oat","Avena fatua","10"
"rust","Puccinia punctiformis","10"
"bronze knapweed root borer","Sphenoptera jugoslavica","10"
"birdsrape mustard","Brassica rapa","10"
"common velvetgrass","Holcus lanatus","10"
"squirreltail fescue","Vulpia bromoides","9"
"seaside barley","Hordeum marinum","9"
"banded elm bark beetle","Scolytus schevyrewi","9"
