"Common Name","Scientific Name","Number of Records"
"fourleaf manyseed","Polycarpon tetraphyllum","61"
"sensitive partridgepea","Chamaecrista nictitans","60"
"southern sandbur","Cenchrus echinatus","60"
"haspan flatsedge","Cyperus haspan","59"
"Lehmann lovegrass","Eragrostis lehmanniana","59"
"redstem stork's bill","Erodium cicutarium ssp. cicutarium","59"
"lawn burweed","Soliva sessilis","58"
"field dodder","Cuscuta pentagona","58"
"silver hairgrass","Aira caryophyllea","58"
"spanishneedles","Bidens bipinnata","58"
"spotted burclover","Medicago arabica","58"
"West Indian nightshade","Solanum ptychanthum","57"
"alfalfa","Medicago sativa ssp. sativa","57"
"knotted hedgeparsley","Torilis nodosa","56"
"Britton's wild petunia","Ruellia simplex","56"
"green bristlegrass","Setaria viridis var. viridis","56"
"largeseed dodder","Cuscuta indecora","56"
"wild mustard","Sinapis arvensis","56"
"perilla mint","Perilla frutescens","55"
"common mallow","Malva neglecta","55"
"thymeleaf sandwort","Arenaria serpyllifolia","55"
"bellardia","Bellardia trixago","55"
"Chinese parasoltree","Firmiana simplex","54"
"French tamarisk","Tamarix gallica","53"
"mouse barley","Hordeum murinum","53"
"little quakinggrass","Briza minor","53"
"tall lettuce","Lactuca canadensis","52"
"northern catalpa","Catalpa speciosa","52"
"spreading hedgeparsley","Torilis arvensis ssp. arvensis","52"
"soapberry borer","Agrilus prionurus","52"
"coffee senna","Senna occidentalis","52"
"dotted duckmeat","Landoltia punctata","52"
"anil de pasto","Indigofera suffruticosa","51"
"Uruguayan vervain","Verbena montevidensis","51"
"rattail fescue","Vulpia myuros","50"
"hemp dogbane","Apocynum cannabinum","50"
"bagpod","Sesbania vesicaria","49"
"sicklepod","Senna obtusifolia","49"
"Kleberg's bluestem","Dichanthium annulatum","49"
"leporinum barley","Hordeum murinum ssp. leporinum","48"
"air-potato","Dioscorea bulbifera","48"
"smallseed falseflax","Camelina microcarpa","47"
"blessed milkthistle","Silybum marianum","47"
"rock dandelion","Taraxacum erythrospermum","47"
"yellow starthistle","Centaurea solstitialis","47"
"Eurasian watermilfoil","Myriophyllum spicatum","46"
"crapemyrtle","Lagerstroemia indica","46"
"melon","Cucumis melo","45"
"sourgrass","Digitaria insularis","45"
"fusiform rust","Cronartium quercuum f.sp. fusiforme","45"
"goldenrain tree","Koelreuteria paniculata","45"
"pomegranate","Punica granatum","42"
"anglestem beaksedge","Rhynchospora caduca","41"
"Asian mazus","Mazus pumilus","41"
"oleander","Nerium oleander","41"
"redroot pigweed","Amaranthus retroflexus","41"
"hemp sesbania","Sesbania exaltata","40"
"european starling","Sturnus vulgaris","39"
"nettleleaf goosefoot","Chenopodium murale","39"
"violet crabgrass","Digitaria violascens","39"
"hairy beggarticks","Bidens pilosa","39"
"arrowleaf clover","Trifolium vesiculosum","39"
"spotted waterhemlock","Cicuta maculata","39"
"African rue","Peganum harmala","39"
"coral vine","Antigonon leptopus","39"
"small hop clover","Trifolium dubium","39"
"denseflower knotweed","Persicaria glabra","38"
"tall morning-glory","Ipomoea purpurea","38"
"cutleaf geranium","Geranium dissectum","38"
"hogpotato","Hoffmannseggia glauca","37"
"common reed","Phragmites australis","37"
"tarweed cuphea","Cuphea carthagenensis","37"
"cutleaf groundcherry","Physalis angulata","37"
"redfruit passionflower","Passiflora foetida","37"
"purple deadnettle","Lamium purpureum","37"
"bristly foxtail","Setaria verticillata","36"
"nimblewill","Muhlenbergia schreberi","36"
"longleaf groundcherry","Physalis longifolia","36"
"tuberous vervain","Verbena rigida","36"
"Amur honeysuckle","Lonicera maackii","35"
"green kyllinga","Kyllinga brevifolia","35"
"cornflower","Centaurea cyanus","35"
"grassy arrowhead","Sagittaria graminea","34"
"oat","Avena sativa","34"
"rice flatsedge","Cyperus iria","33"
"ivyleaf morning-glory","Ipomoea hederacea","33"
"ladysthumb","Persicaria maculosa","33"
"cucurbit downy mildew","Pseudoperonospora cubensis","33"
"wisterias","Wisteria spp.","33"
"bush morning-glory","Ipomoea leptophylla","32"
"Palmer amaranth","Amaranthus palmeri","32"
"Scotch thistle","Onopordum acanthium","32"
"pale yellow iris, yellow flag iris","Iris pseudacorus","32"
"Angleton bluestem","Dichanthium aristatum","32"
"bull thistle","Cirsium vulgare","32"
"smooth cat's ear","Hypochaeris glabra","31"
"tawny crazy ant","Nylanderia fulva","31"
"smooth cordgrass","Spartina alterniflora","31"
"saltmeadow cordgrass","Spartina patens","31"
"red clover","Trifolium pratense","30"
"prostrate knotweed","Polygonum aviculare","30"
"moth mullein","Verbascum blattaria","30"
"birdsrape mustard","Brassica rapa","30"
"common cattail","Typha latifolia","30"
"common dandelion","Taraxacum officinale ssp. officinale","30"
"torpedograss","Panicum repens","29"
"camphortree","Cinnamomum camphora","29"
"Kentucky bluegrass","Poa pratensis","29"
"canarygrass","Phalaris canariensis","29"
"princesstree","Paulownia tomentosa","29"
"doubtful knight's-spur","Consolida ajacis","29"
"jimsonweed","Datura stramonium","28"
"weeping lantana","Lantana montevidensis","28"
"broadleaf carpetgrass","Axonopus compressus","27"
"bald brome","Bromus racemosus","27"
"Persian clover","Trifolium resupinatum","27"
"prostrate pigweed","Amaranthus blitoides","27"
"natalgrass","Melinis repens","27"
"western pine beetle","Dendroctonus brevicomis","27"
"peach","Prunus persica","27"
"Japanese netvein hollyfern","Cyrtomium falcatum","27"
"wild buckwheat","Fallopia convolvulus","27"
"common mouse-ear chickweed","Cerastium fontanum","27"
"wild garlic","Allium vineale","27"
"common periwinkle","Vinca minor","27"
"edible fig","Ficus carica","27"
"tumble mustard","Sisymbrium altissimum","26"
"star-of-Bethlehem","Ornithogalum umbellatum","26"
"orchardgrass","Dactylis glomerata","26"
"common salsify","Tragopogon porrifolius","26"
"Carolina fanwort, fanwort","Cabomba caroliniana","26"
"mulberryweed","Fatoua villosa","26"
"fiddleleaf dock","Rumex pulcher","25"
"wild licorice","Glycyrrhiza lepidota","25"
"horsenettle","Solanum carolinense","25"
"poison hemlock","Conium maculatum","25"
"cat (feral)","Felis catus (feral type)","25"
"giantseed goosefoot","Chenopodium simplex","25"
"Indian mustard","Brassica juncea","24"
"blackdisk medick","Medicago orbicularis","24"
"palmleaf morning-glory","Ipomoea wrightii","24"
"Russian olive","Elaeagnus angustifolia","24"
"pink woodsorrel","Oxalis debilis var. corymbosa","24"
"purple crown-vetch","Securigera varia","24"
"Brazilian waterweed, Brazilian elodea","Egeria densa","24"
"Florida betony","Stachys floridana","24"
"common wheat","Triticum aestivum","23"
"water fern","Salvinia minima","23"
