"Common Name","Scientific Name","Number of Records"
"little quakinggrass","Briza minor","4"
"southern sandbur","Cenchrus echinatus","4"
"timothy","Phleum pratense","4"
"teasel","Dipsacus","3"
"brittleleaf naiad","Najas minor","3"
"brown marmorated stink bug","Halyomorpha halys","3"
"fusiform rust","Cronartium quercuum f.sp. fusiforme","3"
"smutgrass","Sporobolus indicus","3"
"doubtful knight's-spur","Consolida ajacis","3"
"narrowleaf dock","Rumex stenophyllus","3"
"hydrilla","Hydrilla verticillata","3"
"foxtail millet","Setaria italica","3"
"Southern corn rust","Puccinia polysora","3"
"common cornsalad","Valerianella locusta","3"
"Uruguayan vervain","Verbena montevidensis","3"
"princesstree","Paulownia tomentosa","3"
"California burclover","Medicago polymorpha","3"
"water-bent","Polypogon viridis","3"
"non-native yams","Dioscorea spp. (non-native)","3"
"clasping pepperweed","Lepidium perfoliatum","3"
"Brazilian vervain","Verbena incompta","3"
"banded elm bark beetle","Scolytus schevyrewi","3"
"umbrella spurry","Holosteum umbellatum","3"
"Long's sedge","Carex longii","3"
"giant foxtail","Setaria faberi","3"
"coffee senna","Senna occidentalis","3"
"Mahaleb cherry","Prunus mahaleb","3"
"yellow daylily","Hemerocallis lilioasphodelus","3"
"bladder senna","Colutea arborescens","3"
"scarlet pimpernel","Anagallis arvensis","3"
"Elaeagnus","Elaeagnus spp.","3"
"cutleaf geranium","Geranium dissectum","3"
"Persian speedwell","Veronica persica","3"
"largeleaf lantana","Lantana camara","3"
"giant sumpweed","Cyclachaena xanthifolia","3"
"common four-o'clock","Mirabilis jalapa","3"
"poverty brome","Bromus sterilis","2"
"Japanese knotweed","Reynoutria japonica","2"
"periwinkle","Vinca","2"
"Russian knapweed","Rhaponticum repens","2"
"red spiderlily","Lycoris radiata","2"
"woolly distaff thistle","Carthamus lanatus","2"
"dovefoot geranium","Geranium molle","2"
"Himalayan blackberry","Rubus armeniacus","2"
"thoroughwort pennycress","Microthlaspi perfoliatum","2"
"babysbreath","Gypsophila paniculata","2"
"annual sowthistle","Sonchus oleraceus","2"
"American sweetflag","Acorus calamus","2"
"wild parsnip","Pastinaca sativa","2"
"kudzu bug","Megacopta cribraria","2"
"tall wheatgrass","Thinopyrum ponticum","2"
"ivy","Hedera spp.","2"
"common velvetgrass","Holcus lanatus","2"
"itchgrass","Rottboellia cochinchinensis","2"
"wirestem muhly","Muhlenbergia frondosa","2"
"common viper's bugloss, blueweed","Echium vulgare","2"
"broadleaf plantain","Plantago major","2"
"narrow-leaved cattail","Typha angustifolia","2"
"ponderosa pine","Pinus ponderosa","2"
"crack willow","Salix fragilis","2"
"bigpod sesbania","Sesbania herbacea","2"
"Asiatic hawksbeard","Youngia japonica","2"
"crested wheatgrass","Agropyron cristatum","2"
"apple-of-Peru","Nicandra physalodes","2"
"lemon balm","Melissa officinalis","2"
"dames rocket","Hesperis matronalis","2"
"hoary alyssum","Berteroa incana","2"
"silver hairgrass","Aira caryophyllea","2"
"hare's ear","Bupleurum rotundifolium","2"
"rudd","Scardinius erythrophthalmus","2"
"golden bamboo","Phyllostachys aurea","2"
"golden algae","Prymnesium parvum","2"
"violet crabgrass","Digitaria violascens","2"
"bahiagrass","Paspalum notatum","2"
"hogpotato","Hoffmannseggia glauca","2"
"plumeless thistle","Carduus","2"
"pale yellow iris, yellow flag iris","Iris pseudacorus","2"
"common tansy","Tanacetum vulgare","2"
"birdsfoot trefoil","Lotus corniculatus","2"
"turnipweed","Rapistrum rugosum","1"
"field horsetail","Equisetum arvense","1"
"hairypink","Petrorhagia dubia","1"
