"Common Name","Scientific Name","Number of Records"
"cheatgrass, downy brome","Bromus tectorum","82"
"showy fly honeysuckle, Bell's honeysuckle","Lonicera x bella","81"
"fall panicum","Panicum dichotomiflorum","81"
"Kentucky bluegrass","Poa pratensis","81"
"cup rosinweed","Silphium perfoliatum","81"
"annual sowthistle","Sonchus oleraceus","78"
"horsenettle","Solanum carolinense","78"
"tar spot of corn","Phyllachora maydis","78"
"orchardgrass","Dactylis glomerata","78"
"white horehound","Marrubium vulgare","76"
"field pepperweed","Lepidium campestre","76"
"longleaf groundcherry","Physalis longifolia","76"
"water speedwell","Veronica anagallis-aquatica","75"
"meadow salsify","Tragopogon lamottei","75"
"tumble mustard","Sisymbrium altissimum","75"
"winter creeper","Euonymus fortunei","74"
"longspine sandbur","Cenchrus longispinus","74"
"meadow fescue","Festuca pratensis","73"
"Norway maple","Acer platanoides","73"
"spotted knapweed","Centaurea stoebe ssp. micranthos","73"
"West Indian nightshade","Solanum ptychanthum","72"
"wirestem muhly","Muhlenbergia frondosa","72"
"everlasting peavine","Lathyrus latifolius","71"
"johnsongrass","Sorghum halepense","71"
"common buckthorn, European buckthorn","Rhamnus cathartica","71"
"giant foxtail","Setaria faberi","70"
"herb-robert","Geranium robertianum","70"
"pale yellow iris, yellow flag iris","Iris pseudacorus","70"
"water knotweed","Polygonum amphibium","69"
"Asiatic dayflower","Commelina communis","69"
"smallseed falseflax","Camelina microcarpa","68"
"carpet bugle","Ajuga reptans","68"
"Oriental lady's thumb","Polygonum posumbu","68"
"variegated cutworm","Peridroma saucia","67"
"common velvetgrass","Holcus lanatus","67"
"field brome","Bromus arvensis","67"
"tall oatgrass","Arrhenatherum elatius","66"
"annual ragweed","Ambrosia artemisiifolia var. elatior","66"
"giantseed goosefoot","Chenopodium simplex","65"
"burcucumber","Sicyos angulatus","65"
"prostrate knotweed","Polygonum aviculare","65"
"alfalfa","Medicago sativa","64"
"European pine shoot moth","Rhyacionia buoliana","63"
"Mexican fireweed","Bassia scoparia","63"
"toothed spurge","Euphorbia dentata","63"
"Oriental lady's thumb","Persicaria longiseta","63"
"redroot pigweed","Amaranthus retroflexus","62"
"fragrant waterlily","Nymphaea odorata","61"
"alfalfa","Medicago sativa ssp. sativa","60"
"autumn olive","Elaeagnus umbellata var. parvifolia","60"
"corn cockle","Agrostemma githago","60"
"dogwood anthracnose","Discula destructiva","60"
"purple cudweed","Gamochaeta purpurea","60"
"cutleaf teasel","Dipsacus laciniatus","59"
"giant chickweed","Myosoton aquaticum","59"
"English ivy","Hedera helix","59"
"sensitive partridgepea","Chamaecrista nictitans","58"
"princess-feather","Persicaria orientalis","58"
"marsh-pepper smartweed","Persicaria hydropiper","58"
"creeping buttercup","Ranunculus repens","58"
"bald brome","Bromus racemosus","58"
"great burdock","Arctium lappa","57"
"musk thistle, nodding thistle","Carduus nutans","57"
"common reed","Phragmites australis","56"
"periwinkle","Vinca","56"
"field thistle","Cirsium discolor","55"
"chestnut blight or canker","Cryphonectria parasitica","55"
"tawny daylily","Hemerocallis fulva","55"
"European black alder","Alnus glutinosa","55"
"European cranberrybush","Viburnum opulus","54"
"red-eared slider","Trachemys scripta elegans","54"
"yellow foxtail","Setaria pumila","54"
"sweet vernalgrass","Anthoxanthum odoratum","53"
"bigroot morning-glory","Ipomoea pandurata","53"
"peppermint","Mentha x piperita","53"
"water mint","Mentha aquatica","53"
"cutleaf evening-primrose","Oenothera laciniata","52"
"birdsrape mustard","Brassica rapa","52"
"lemon balm","Melissa officinalis","52"
"Indian mustard","Brassica juncea","51"
"European red raspberry","Rubus idaeus","51"
"purpleosier willow","Salix purpurea","51"
"bristly foxtail","Setaria verticillata","50"
"white cockle","Silene latifolia ssp. alba","50"
"Russian olive","Elaeagnus angustifolia","49"
"pale dock","Rumex altissimus","49"
"nettleleaf goosefoot","Chenopodium murale","48"
"cranberry viburnum, European highbush cranberry","Viburnum opulus ssp. opulus","48"
"wandering broadhead planarian","Bipalium adventitium","47"
"radish","Raphanus sativus","47"
"spanishneedles","Bidens bipinnata","47"
"common groundsel","Senecio vulgaris","47"
"apple-of-Peru","Nicandra physalodes","46"
"roughstalk bluegrass","Poa trivialis","46"
"Japanese hedge-parsley, erect hedgeparsley","Torilis japonica","46"
"Wisconsin weeping willow","Salix x pendulina","46"
